SMILES1,SMILES2,DepMapID,Label
C1CNP(=O)(OC1)N(CCCl)CCCl,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,A427,0
C1CNP(=O)(OC1)N(CCCl)CCCl,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,CAOV3,1
C1CNP(=O)(OC1)N(CCCl)CCCl,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,LNCAP,0
C1CNP(=O)(OC1)N(CCCl)CCCl,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,T47D,1
C1CNP(=O)(OC1)N(CCCl)CCCl,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,UWB1289,0
C1CNP(=O)(OC1)N(CCCl)CCCl,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,VCAP,1
C1CNP(=O)(OC1)N(CCCl)CCCl,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,ZR751,1
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,A427,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,CAOV3,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,COLO320DM,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,DLD1,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,EFM192B,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,HT29,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,KPL1,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,LOVO,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,MDAMB436,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,NCIH1650,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,NCIH2122,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,NCIH23,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,OVCAR3,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,SKOV3,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,SW837,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,T47D,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,UWB1289,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,VCAP,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,A2058,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,A2780,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,A375,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,CAOV3,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,COLO320DM,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,ES2,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,HCT116,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,HT144,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,KPL1,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,LNCAP,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,LOVO,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,MDAMB436,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,MSTO,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,NCIH1650,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,NCIH23,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,NCIH460,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,OV90,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,OVCAR3,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,PA1,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,RKO,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,RPMI7951,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,SKMEL30,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,SW620,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,SW837,0
C1CNP(=O)(OC1)N(CCCl)CCCl,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,UACC62,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,A2058,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,A2780,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,A375,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,A427,0
C1CNP(=O)(OC1)N(CCCl)CCCl,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,DLD1,0
